m,p,alpha0,alpha1,rho0,rho1,unadjusted_alpha0,unadjusted_alpha1,n,emp.tIe,nconv.rate0,emp.power,nconv.rate1,pred.power
20,4,0.015,0.01,0.15,0.1,0.027966102,0.018644068,44,0.0506,0,0.807,0,0.816138583
20,4,0.015,0.01,0.3,0.15,0.042372881,0.023446328,42,0.0514,0,0.8028,0,0.80397903
20,4,0.015,0.01,0.5,0.3,0.061581921,0.037853107,42,0.0514,0,0.8082,0,0.811812226
20,4,0.1,0.05,0.15,0.1,0.10480226,0.05480226,40,0.0506,0,0.8104,0,0.811182885
20,4,0.1,0.05,0.3,0.15,0.11920904,0.05960452,40,0.0514,0,0.8188,0,0.817376962
20,4,0.1,0.05,0.5,0.3,0.138418079,0.074011299,38,0.0512,0,0.8006,0,0.806157316
20,8,0.015,0.01,0.15,0.1,0.027966102,0.018644068,22,0.0508,0,0.8146,0,0.816138583
20,8,0.015,0.01,0.3,0.15,0.042372881,0.023446328,22,0.0516,0,0.8192,0,0.821784043
20,8,0.015,0.01,0.5,0.3,0.061581921,0.037853107,22,0.0532,0,0.8252,0,0.829333346
20,8,0.1,0.05,0.15,0.1,0.10480226,0.05480226,20,0.0568,0,0.808,0,0.811182885
20,8,0.1,0.05,0.3,0.15,0.11920904,0.05960452,20,0.0578,0,0.8134,0,0.817376962
20,8,0.1,0.05,0.5,0.3,0.138418079,0.074011299,20,0.0588,0,0.8186,0,0.825666984
50,4,0.015,0.01,0.15,0.1,0.027966102,0.018644068,18,0.053,0,0.817,0,0.824608726
50,4,0.015,0.01,0.3,0.15,0.042372881,0.023446328,18,0.0546,0,0.8208,0,0.830148695
50,4,0.015,0.01,0.5,0.3,0.061581921,0.037853107,18,0.058,0,0.826565313,0.0002,0.83754878
50,4,0.1,0.05,0.15,0.1,0.10480226,0.05480226,16,0.049,0,0.813,0,0.811182885
50,4,0.1,0.05,0.3,0.15,0.11920904,0.05960452,16,0.052,0,0.817963593,0.0002,0.817376962
50,4,0.1,0.05,0.5,0.3,0.138418079,0.074011299,16,0.0558,0,0.8236,0,0.825666984
50,8,0.015,0.01,0.15,0.1,0.027966102,0.018644068,10,0.0556,0,0.862,0,0.862047422
50,8,0.015,0.01,0.3,0.15,0.042372881,0.023446328,10,0.0564,0,0.8634,0,0.867020659
50,8,0.015,0.01,0.5,0.3,0.061581921,0.037853107,10,0.0612,0,0.8654,0,0.873626673
50,8,0.1,0.05,0.15,0.1,0.10480226,0.05480226,8,0.0526,0,0.8032,0,0.811182885
50,8,0.1,0.05,0.3,0.15,0.11920904,0.05960452,8,0.0552,0,0.807,0,0.817376962
50,8,0.1,0.05,0.5,0.3,0.138418079,0.074011299,8,0.0608,0,0.814,0,0.825666984
