"m","p","alpha0","alpha1","rho0","rho1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,42,0.051,0,0.8118,0,0.806074337798826
20,4,0.015,0.01,0.3,0.15,44,0.0536,0,0.8058,0,0.806588470912629
20,4,0.015,0.01,0.5,0.3,48,0.052,0,0.8012,0,0.804354387123465
20,4,0.1,0.05,0.15,0.1,42,0.0514,0,0.813,0,0.808330969882424
20,4,0.1,0.05,0.3,0.15,48,0.0504,0,0.8052,0,0.812862228259321
20,4,0.1,0.05,0.5,0.3,58,0.0534,0,0.7978,0,0.80020124060198
20,8,0.015,0.01,0.15,0.1,22,0.048,0,0.8114,0,0.818571011638933
20,8,0.015,0.01,0.3,0.15,24,0.0538,0,0.8374,0,0.831742856790554
20,8,0.015,0.01,0.5,0.3,26,0.055,0,0.8164,0,0.815655031314947
20,8,0.1,0.05,0.15,0.1,22,0.0452,0,0.8172,0,0.824605632839619
20,8,0.1,0.05,0.3,0.15,24,0.0478,0,0.8132,0,0.811223242858328
20,8,0.1,0.05,0.5,0.3,30,0.0462073195665508,0.0218,0.79582651391162,0.0224,0.806191905928493
50,4,0.015,0.01,0.15,0.1,18,0.0538,0,0.8176,0,0.821575120754883
50,4,0.015,0.01,0.3,0.15,20,0.0546,0,0.8288,0,0.832531484285964
50,4,0.015,0.01,0.5,0.3,22,0.0554,0,0.8106,0,0.810957647154097
50,4,0.1,0.05,0.15,0.1,18,0.0518,0,0.8276,0,0.832127940091321
50,4,0.1,0.05,0.3,0.15,20,0.0538322993796278,0.000600000000000045,0.812287372423454,0.000600000000000045,0.813466184060867
50,4,0.1,0.05,0.5,0.3,26,0.0558,0,0.815963192638528,0.000199999999999978,0.80848928076463
50,8,0.015,0.01,0.15,0.1,10,0.0528,0,0.8566,0,0.856118698333595
50,8,0.015,0.01,0.3,0.15,10,0.0522,0,0.8266,0,0.828253482051978
50,8,0.015,0.01,0.5,0.3,12,0.0582,0,0.8248,0,0.830462725899774
50,8,0.1,0.05,0.15,0.1,10,0.0524209683873549,0.000399999999999956,0.873549419767907,0.000399999999999956,0.868231552228028
50,8,0.1,0.05,0.3,0.15,10,0.05326391670004,0.00119999999999998,0.817508012820513,0.00160000000000005,0.813024326406561
50,8,0.1,0.05,0.5,0.3,14,0.0540757059883837,0.00139999999999996,0.831163629080713,0.00139999999999996,0.833522971663817
